2023-04-08 21:49:42,479 root         INFO     Namespace(data_path='datasets/po', expt_dir='./experiment', log_level='info', model='cnn')
2023-04-08 21:49:42,479 sentence_transformers.SentenceTransformer INFO     Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2023-04-08 21:49:44,357 sentence_transformers.SentenceTransformer INFO     Use pytorch device: cuda
2023-04-08 21:49:48,374 seq2seq.trainer.supervised_trainer INFO     Optimizer: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
), Scheduler: None
2023-04-08 21:49:52,000 seq2seq.trainer.supervised_trainer INFO     Progress: 1%, Train RMSE Loss: 2.8286
2023-04-08 21:49:53,231 seq2seq.trainer.supervised_trainer INFO     Progress: 1%, Train RMSE Loss: 1.7150
2023-04-08 21:49:54,496 seq2seq.trainer.supervised_trainer INFO     Progress: 2%, Train RMSE Loss: 1.3008
2023-04-08 21:49:55,806 seq2seq.trainer.supervised_trainer INFO     Progress: 2%, Train RMSE Loss: 2.3130
2023-04-08 21:49:57,148 seq2seq.trainer.supervised_trainer INFO     Progress: 3%, Train RMSE Loss: 0.7708
2023-04-08 21:49:58,442 seq2seq.trainer.supervised_trainer INFO     Progress: 4%, Train RMSE Loss: 0.7993
2023-04-08 21:49:59,719 seq2seq.trainer.supervised_trainer INFO     Progress: 4%, Train RMSE Loss: 0.7074
2023-04-08 21:50:01,046 seq2seq.trainer.supervised_trainer INFO     Progress: 5%, Train RMSE Loss: 0.9112
2023-04-08 21:50:02,476 seq2seq.trainer.supervised_trainer INFO     Progress: 5%, Train RMSE Loss: 0.6222
2023-04-08 21:50:03,816 seq2seq.trainer.supervised_trainer INFO     Progress: 6%, Train RMSE Loss: 0.5234
2023-04-08 21:50:05,184 seq2seq.trainer.supervised_trainer INFO     Progress: 7%, Train RMSE Loss: 0.5325
2023-04-08 21:50:06,562 seq2seq.trainer.supervised_trainer INFO     Progress: 7%, Train RMSE Loss: 0.4731
2023-04-08 21:50:08,025 seq2seq.trainer.supervised_trainer INFO     Progress: 8%, Train RMSE Loss: 0.4143
2023-04-08 21:50:10,732 seq2seq.trainer.supervised_trainer INFO     Progress: 8%, Train RMSE Loss: 0.5028
2023-04-08 21:50:12,103 seq2seq.trainer.supervised_trainer INFO     Progress: 9%, Train RMSE Loss: 0.4212
2023-04-08 21:50:20,921 seq2seq.trainer.supervised_trainer INFO     
Finished epoch 1: Train RMSE Loss: 0.9109, Dev RMSE Loss: 3.3770, Test RMSE Loss: 4.6916
2023-04-08 21:50:21,729 seq2seq.trainer.supervised_trainer INFO     Progress: 10%, Train RMSE Loss: 0.5954
2023-04-08 21:50:23,227 seq2seq.trainer.supervised_trainer INFO     Progress: 10%, Train RMSE Loss: 0.7473
2023-04-08 21:50:24,931 seq2seq.trainer.supervised_trainer INFO     Progress: 11%, Train RMSE Loss: 1.8220
2023-04-08 21:50:26,293 seq2seq.trainer.supervised_trainer INFO     Progress: 11%, Train RMSE Loss: 1.8888
2023-04-08 21:50:27,895 seq2seq.trainer.supervised_trainer INFO     Progress: 12%, Train RMSE Loss: 0.9365
2023-04-08 21:50:29,578 seq2seq.trainer.supervised_trainer INFO     Progress: 13%, Train RMSE Loss: 2.9469
2023-04-08 21:50:31,000 seq2seq.trainer.supervised_trainer INFO     Progress: 13%, Train RMSE Loss: 0.5992
2023-04-08 21:50:32,788 seq2seq.trainer.supervised_trainer INFO     Progress: 14%, Train RMSE Loss: 0.6659
2023-04-08 21:50:34,308 seq2seq.trainer.supervised_trainer INFO     Progress: 14%, Train RMSE Loss: 0.6660
2023-04-08 21:50:35,895 seq2seq.trainer.supervised_trainer INFO     Progress: 15%, Train RMSE Loss: 0.8242
2023-04-08 21:50:37,325 seq2seq.trainer.supervised_trainer INFO     Progress: 16%, Train RMSE Loss: 0.4904
2023-04-08 21:50:39,289 seq2seq.trainer.supervised_trainer INFO     Progress: 16%, Train RMSE Loss: 0.4424
2023-04-08 21:50:41,648 seq2seq.trainer.supervised_trainer INFO     Progress: 17%, Train RMSE Loss: 0.5144
2023-04-08 21:50:43,268 seq2seq.trainer.supervised_trainer INFO     Progress: 17%, Train RMSE Loss: 0.4385
2023-04-08 21:50:44,845 seq2seq.trainer.supervised_trainer INFO     Progress: 18%, Train RMSE Loss: 0.4101
2023-04-08 21:50:46,458 seq2seq.trainer.supervised_trainer INFO     Progress: 19%, Train RMSE Loss: 0.4456
2023-04-08 21:50:47,892 seq2seq.trainer.supervised_trainer INFO     Progress: 19%, Train RMSE Loss: 0.4344
2023-04-08 21:50:57,953 seq2seq.trainer.supervised_trainer INFO     
Finished epoch 2: Train RMSE Loss: 0.8761, Dev RMSE Loss: 3.1497, Test RMSE Loss: 4.2857
2023-04-08 21:50:59,022 seq2seq.trainer.supervised_trainer INFO     Progress: 20%, Train RMSE Loss: 0.6020
2023-04-08 21:51:00,368 seq2seq.trainer.supervised_trainer INFO     Progress: 20%, Train RMSE Loss: 0.8431
2023-04-08 21:51:01,913 seq2seq.trainer.supervised_trainer INFO     Progress: 21%, Train RMSE Loss: 2.0378
2023-04-08 21:51:03,286 seq2seq.trainer.supervised_trainer INFO     Progress: 22%, Train RMSE Loss: 1.4961
2023-04-08 21:51:04,820 seq2seq.trainer.supervised_trainer INFO     Progress: 22%, Train RMSE Loss: 1.4528
2023-04-08 21:51:06,234 seq2seq.trainer.supervised_trainer INFO     Progress: 23%, Train RMSE Loss: 1.6463
2023-04-08 21:51:07,633 seq2seq.trainer.supervised_trainer INFO     Progress: 23%, Train RMSE Loss: 0.6834
2023-04-08 21:51:09,053 seq2seq.trainer.supervised_trainer INFO     Progress: 24%, Train RMSE Loss: 0.6742
2023-04-08 21:51:10,504 seq2seq.trainer.supervised_trainer INFO     Progress: 25%, Train RMSE Loss: 0.6265
2023-04-08 21:51:12,117 seq2seq.trainer.supervised_trainer INFO     Progress: 25%, Train RMSE Loss: 0.7962
2023-04-08 21:51:13,776 seq2seq.trainer.supervised_trainer INFO     Progress: 26%, Train RMSE Loss: 0.6020
2023-04-08 21:51:15,470 seq2seq.trainer.supervised_trainer INFO     Progress: 26%, Train RMSE Loss: 0.4734
2023-04-08 21:51:17,181 seq2seq.trainer.supervised_trainer INFO     Progress: 27%, Train RMSE Loss: 0.4495
2023-04-08 21:51:18,769 seq2seq.trainer.supervised_trainer INFO     Progress: 28%, Train RMSE Loss: 0.3961
2023-04-08 21:51:20,218 seq2seq.trainer.supervised_trainer INFO     Progress: 28%, Train RMSE Loss: 0.4311
2023-04-08 21:51:22,112 seq2seq.trainer.supervised_trainer INFO     Progress: 29%, Train RMSE Loss: 0.4399
2023-04-08 21:51:23,867 seq2seq.trainer.supervised_trainer INFO     Progress: 29%, Train RMSE Loss: 0.4351
2023-04-08 21:51:33,565 seq2seq.trainer.supervised_trainer INFO     
Finished epoch 3: Train RMSE Loss: 0.8342, Dev RMSE Loss: 3.0947, Test RMSE Loss: 4.1175
2023-04-08 21:51:35,301 seq2seq.trainer.supervised_trainer INFO     Progress: 30%, Train RMSE Loss: 0.7203
2023-04-08 21:51:36,683 seq2seq.trainer.supervised_trainer INFO     Progress: 30%, Train RMSE Loss: 0.9984
2023-04-08 21:51:38,090 seq2seq.trainer.supervised_trainer INFO     Progress: 31%, Train RMSE Loss: 1.5176
2023-04-08 21:51:39,652 seq2seq.trainer.supervised_trainer INFO     Progress: 32%, Train RMSE Loss: 1.6311
2023-04-08 21:51:41,278 seq2seq.trainer.supervised_trainer INFO     Progress: 32%, Train RMSE Loss: 1.6917
2023-04-08 21:51:42,711 seq2seq.trainer.supervised_trainer INFO     Progress: 33%, Train RMSE Loss: 1.5611
2023-04-08 21:51:44,134 seq2seq.trainer.supervised_trainer INFO     Progress: 33%, Train RMSE Loss: 0.7667
