2023-04-08 21:50:08,395 root         INFO     Namespace(data_path='datasets/pubmed', expt_dir='./experiment', log_level='info', model='cnn')
2023-04-08 21:50:08,395 sentence_transformers.SentenceTransformer INFO     Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2023-04-08 21:50:10,509 sentence_transformers.SentenceTransformer INFO     Use pytorch device: cuda
2023-04-08 21:50:15,264 seq2seq.trainer.supervised_trainer INFO     Optimizer: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
), Scheduler: None
2023-04-08 21:50:19,657 seq2seq.trainer.supervised_trainer INFO     Progress: 0%, Train RMSE Loss: 0.7801
2023-04-08 21:50:21,109 seq2seq.trainer.supervised_trainer INFO     Progress: 1%, Train RMSE Loss: 0.5362
2023-04-08 21:50:22,936 seq2seq.trainer.supervised_trainer INFO     Progress: 1%, Train RMSE Loss: 0.3465
2023-04-08 21:50:24,722 seq2seq.trainer.supervised_trainer INFO     Progress: 1%, Train RMSE Loss: 0.7962
2023-04-08 21:50:26,457 seq2seq.trainer.supervised_trainer INFO     Progress: 2%, Train RMSE Loss: 0.2751
2023-04-08 21:50:28,030 seq2seq.trainer.supervised_trainer INFO     Progress: 2%, Train RMSE Loss: 0.2541
2023-04-08 21:50:29,621 seq2seq.trainer.supervised_trainer INFO     Progress: 3%, Train RMSE Loss: 0.2175
2023-04-08 21:50:31,031 seq2seq.trainer.supervised_trainer INFO     Progress: 3%, Train RMSE Loss: 0.2907
2023-04-08 21:50:32,460 seq2seq.trainer.supervised_trainer INFO     Progress: 3%, Train RMSE Loss: 0.2045
2023-04-08 21:50:34,074 seq2seq.trainer.supervised_trainer INFO     Progress: 4%, Train RMSE Loss: 0.1983
2023-04-08 21:50:36,047 seq2seq.trainer.supervised_trainer INFO     Progress: 4%, Train RMSE Loss: 0.2218
2023-04-08 21:50:37,862 seq2seq.trainer.supervised_trainer INFO     Progress: 5%, Train RMSE Loss: 0.2014
2023-04-08 21:50:39,286 seq2seq.trainer.supervised_trainer INFO     Progress: 5%, Train RMSE Loss: 0.1667
2023-04-08 21:50:40,719 seq2seq.trainer.supervised_trainer INFO     Progress: 5%, Train RMSE Loss: 0.1815
2023-04-08 21:50:42,286 seq2seq.trainer.supervised_trainer INFO     Progress: 6%, Train RMSE Loss: 0.1602
2023-04-08 21:50:44,256 seq2seq.trainer.supervised_trainer INFO     Progress: 6%, Train RMSE Loss: 0.2233
2023-04-08 21:50:45,848 seq2seq.trainer.supervised_trainer INFO     Progress: 7%, Train RMSE Loss: 0.2568
2023-04-08 21:50:47,554 seq2seq.trainer.supervised_trainer INFO     Progress: 7%, Train RMSE Loss: 0.4733
2023-04-08 21:50:49,158 seq2seq.trainer.supervised_trainer INFO     Progress: 7%, Train RMSE Loss: 0.2078
2023-04-08 21:50:50,803 seq2seq.trainer.supervised_trainer INFO     Progress: 8%, Train RMSE Loss: 0.4523
2023-04-08 21:50:52,460 seq2seq.trainer.supervised_trainer INFO     Progress: 8%, Train RMSE Loss: 0.3440
2023-04-08 21:50:53,734 seq2seq.trainer.supervised_trainer INFO     Progress: 9%, Train RMSE Loss: 0.2762
2023-04-08 21:50:55,282 seq2seq.trainer.supervised_trainer INFO     Progress: 9%, Train RMSE Loss: 0.2844
2023-04-08 21:50:56,793 seq2seq.trainer.supervised_trainer INFO     Progress: 9%, Train RMSE Loss: 0.2023
2023-04-08 21:51:08,955 seq2seq.trainer.supervised_trainer INFO     
Finished epoch 1: Train RMSE Loss: 0.3022, Dev RMSE Loss: 1.7875, Test RMSE Loss: 0.7140
2023-04-08 21:51:11,116 seq2seq.trainer.supervised_trainer INFO     Progress: 10%, Train RMSE Loss: 0.2183
2023-04-08 21:51:12,700 seq2seq.trainer.supervised_trainer INFO     Progress: 10%, Train RMSE Loss: 0.4504
2023-04-08 21:51:14,120 seq2seq.trainer.supervised_trainer INFO     Progress: 11%, Train RMSE Loss: 0.5219
2023-04-08 21:51:15,612 seq2seq.trainer.supervised_trainer INFO     Progress: 11%, Train RMSE Loss: 0.3834
2023-04-08 21:51:17,143 seq2seq.trainer.supervised_trainer INFO     Progress: 11%, Train RMSE Loss: 0.7456
