2023-04-08 21:39:55,727 root         INFO     Namespace(data_path='datasets/po', expt_dir='./experiment', log_level='info', model='rnn')
2023-04-08 21:39:55,729 sentence_transformers.SentenceTransformer INFO     Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2023-04-08 21:39:57,136 sentence_transformers.SentenceTransformer INFO     Use pytorch device: cuda
2023-04-08 21:40:00,551 seq2seq.trainer.supervised_trainer INFO     Optimizer: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
), Scheduler: None
2023-04-08 21:40:03,971 seq2seq.trainer.supervised_trainer INFO     Progress: 1%, Train RMSE Loss: 11.5333
2023-04-08 21:40:05,268 seq2seq.trainer.supervised_trainer INFO     Progress: 1%, Train RMSE Loss: 7.3237
2023-04-08 21:40:06,604 seq2seq.trainer.supervised_trainer INFO     Progress: 2%, Train RMSE Loss: 3.8631
2023-04-08 21:40:08,188 seq2seq.trainer.supervised_trainer INFO     Progress: 2%, Train RMSE Loss: 8.6257
2023-04-08 21:40:10,791 seq2seq.trainer.supervised_trainer INFO     Progress: 3%, Train RMSE Loss: 1.9489
2023-04-08 21:40:12,204 seq2seq.trainer.supervised_trainer INFO     Progress: 4%, Train RMSE Loss: 1.7500
2023-04-08 21:40:13,574 seq2seq.trainer.supervised_trainer INFO     Progress: 4%, Train RMSE Loss: 1.0910
2023-04-08 21:40:14,915 seq2seq.trainer.supervised_trainer INFO     Progress: 5%, Train RMSE Loss: 2.4388
2023-04-08 21:40:16,402 seq2seq.trainer.supervised_trainer INFO     Progress: 5%, Train RMSE Loss: 1.1356
2023-04-08 21:40:17,833 seq2seq.trainer.supervised_trainer INFO     Progress: 6%, Train RMSE Loss: 0.7612
2023-04-08 21:40:19,839 seq2seq.trainer.supervised_trainer INFO     Progress: 7%, Train RMSE Loss: 0.7872
2023-04-08 21:40:21,369 seq2seq.trainer.supervised_trainer INFO     Progress: 7%, Train RMSE Loss: 0.7543
2023-04-08 21:40:23,164 seq2seq.trainer.supervised_trainer INFO     Progress: 8%, Train RMSE Loss: 0.5660
2023-04-08 21:40:24,577 seq2seq.trainer.supervised_trainer INFO     Progress: 8%, Train RMSE Loss: 0.6838
2023-04-08 21:40:26,114 seq2seq.trainer.supervised_trainer INFO     Progress: 9%, Train RMSE Loss: 0.6602
2023-04-08 21:40:32,567 seq2seq.trainer.supervised_trainer INFO     
Finished epoch 1: Train RMSE Loss: 2.6686, Dev RMSE Loss: 2.5381, Test RMSE Loss: 3.2609
2023-04-08 21:40:33,531 seq2seq.trainer.supervised_trainer INFO     Progress: 10%, Train RMSE Loss: 1.2186
2023-04-08 21:40:35,090 seq2seq.trainer.supervised_trainer INFO     Progress: 10%, Train RMSE Loss: 1.4857
2023-04-08 21:40:36,793 seq2seq.trainer.supervised_trainer INFO     Progress: 11%, Train RMSE Loss: 6.8618
2023-04-08 21:40:38,280 seq2seq.trainer.supervised_trainer INFO     Progress: 11%, Train RMSE Loss: 5.0394
2023-04-08 21:40:39,675 seq2seq.trainer.supervised_trainer INFO     Progress: 12%, Train RMSE Loss: 1.9248
2023-04-08 21:40:41,121 seq2seq.trainer.supervised_trainer INFO     Progress: 13%, Train RMSE Loss: 7.5582
2023-04-08 21:40:42,717 seq2seq.trainer.supervised_trainer INFO     Progress: 13%, Train RMSE Loss: 1.3254
2023-04-08 21:40:44,290 seq2seq.trainer.supervised_trainer INFO     Progress: 14%, Train RMSE Loss: 1.5911
2023-04-08 21:40:45,800 seq2seq.trainer.supervised_trainer INFO     Progress: 14%, Train RMSE Loss: 1.4569
2023-04-08 21:40:47,201 seq2seq.trainer.supervised_trainer INFO     Progress: 15%, Train RMSE Loss: 2.1280
2023-04-08 21:40:48,664 seq2seq.trainer.supervised_trainer INFO     Progress: 16%, Train RMSE Loss: 1.1159
2023-04-08 21:40:50,365 seq2seq.trainer.supervised_trainer INFO     Progress: 16%, Train RMSE Loss: 0.7970
2023-04-08 21:40:51,862 seq2seq.trainer.supervised_trainer INFO     Progress: 17%, Train RMSE Loss: 0.7682
2023-04-08 21:40:53,751 seq2seq.trainer.supervised_trainer INFO     Progress: 17%, Train RMSE Loss: 0.7527
2023-04-08 21:40:55,423 seq2seq.trainer.supervised_trainer INFO     Progress: 18%, Train RMSE Loss: 0.5994
2023-04-08 21:40:57,259 seq2seq.trainer.supervised_trainer INFO     Progress: 19%, Train RMSE Loss: 0.6814
2023-04-08 21:40:58,713 seq2seq.trainer.supervised_trainer INFO     Progress: 19%, Train RMSE Loss: 0.6525
2023-04-08 21:41:04,328 seq2seq.trainer.supervised_trainer INFO     
Finished epoch 2: Train RMSE Loss: 2.1349, Dev RMSE Loss: 2.5657, Test RMSE Loss: 3.4120
2023-04-08 21:41:05,617 seq2seq.trainer.supervised_trainer INFO     Progress: 20%, Train RMSE Loss: 1.4434
2023-04-08 21:41:07,140 seq2seq.trainer.supervised_trainer INFO     Progress: 20%, Train RMSE Loss: 1.9020
2023-04-08 21:41:08,704 seq2seq.trainer.supervised_trainer INFO     Progress: 21%, Train RMSE Loss: 6.7159
2023-04-08 21:41:10,331 seq2seq.trainer.supervised_trainer INFO     Progress: 22%, Train RMSE Loss: 3.5666
2023-04-08 21:41:12,094 seq2seq.trainer.supervised_trainer INFO     Progress: 22%, Train RMSE Loss: 3.2473
2023-04-08 21:41:13,629 seq2seq.trainer.supervised_trainer INFO     Progress: 23%, Train RMSE Loss: 5.7937
2023-04-08 21:41:15,435 seq2seq.trainer.supervised_trainer INFO     Progress: 23%, Train RMSE Loss: 1.9483
2023-04-08 21:41:16,954 seq2seq.trainer.supervised_trainer INFO     Progress: 24%, Train RMSE Loss: 1.7036
2023-04-08 21:41:18,401 seq2seq.trainer.supervised_trainer INFO     Progress: 25%, Train RMSE Loss: 1.4229
2023-04-08 21:41:20,103 seq2seq.trainer.supervised_trainer INFO     Progress: 25%, Train RMSE Loss: 2.1583
2023-04-08 21:41:21,730 seq2seq.trainer.supervised_trainer INFO     Progress: 26%, Train RMSE Loss: 1.2308
2023-04-08 21:41:23,356 seq2seq.trainer.supervised_trainer INFO     Progress: 26%, Train RMSE Loss: 0.7804
2023-04-08 21:41:25,117 seq2seq.trainer.supervised_trainer INFO     Progress: 27%, Train RMSE Loss: 0.8635
2023-04-08 21:41:26,545 seq2seq.trainer.supervised_trainer INFO     Progress: 28%, Train RMSE Loss: 0.7153
2023-04-08 21:41:28,103 seq2seq.trainer.supervised_trainer INFO     Progress: 28%, Train RMSE Loss: 0.7407
2023-04-08 21:41:30,296 seq2seq.trainer.supervised_trainer INFO     Progress: 29%, Train RMSE Loss: 0.6675
2023-04-08 21:41:32,408 seq2seq.trainer.supervised_trainer INFO     Progress: 29%, Train RMSE Loss: 0.8837
2023-04-08 21:41:39,502 seq2seq.trainer.supervised_trainer INFO     
Finished epoch 3: Train RMSE Loss: 2.1231, Dev RMSE Loss: 2.4494, Test RMSE Loss: 3.3174
2023-04-08 21:41:41,182 seq2seq.trainer.supervised_trainer INFO     Progress: 30%, Train RMSE Loss: 1.7134
2023-04-08 21:41:42,568 seq2seq.trainer.supervised_trainer INFO     Progress: 30%, Train RMSE Loss: 2.9341
2023-04-08 21:41:43,983 seq2seq.trainer.supervised_trainer INFO     Progress: 31%, Train RMSE Loss: 5.9196
2023-04-08 21:41:45,313 seq2seq.trainer.supervised_trainer INFO     Progress: 32%, Train RMSE Loss: 3.3426
2023-04-08 21:41:46,614 seq2seq.trainer.supervised_trainer INFO     Progress: 32%, Train RMSE Loss: 4.4675
2023-04-08 21:41:47,956 seq2seq.trainer.supervised_trainer INFO     Progress: 33%, Train RMSE Loss: 3.4217
2023-04-08 21:41:49,253 seq2seq.trainer.supervised_trainer INFO     Progress: 33%, Train RMSE Loss: 1.6529
2023-04-08 21:41:50,727 seq2seq.trainer.supervised_trainer INFO     Progress: 34%, Train RMSE Loss: 1.1435
2023-04-08 21:41:52,213 seq2seq.trainer.supervised_trainer INFO     Progress: 35%, Train RMSE Loss: 1.7921
2023-04-08 21:41:53,763 seq2seq.trainer.supervised_trainer INFO     Progress: 35%, Train RMSE Loss: 2.0580
2023-04-08 21:41:55,558 seq2seq.trainer.supervised_trainer INFO     Progress: 36%, Train RMSE Loss: 0.9857
