2023-04-08 21:40:08,250 root         INFO     Namespace(data_path='datasets/pubmed', expt_dir='./experiment', log_level='info', model='rnn')
2023-04-08 21:40:08,252 sentence_transformers.SentenceTransformer INFO     Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2023-04-08 21:40:09,974 sentence_transformers.SentenceTransformer INFO     Use pytorch device: cuda
2023-04-08 21:40:15,064 seq2seq.trainer.supervised_trainer INFO     Optimizer: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
), Scheduler: None
2023-04-08 21:40:19,859 seq2seq.trainer.supervised_trainer INFO     Progress: 0%, Train RMSE Loss: 1.8259
2023-04-08 21:40:21,527 seq2seq.trainer.supervised_trainer INFO     Progress: 1%, Train RMSE Loss: 1.4099
2023-04-08 21:40:22,919 seq2seq.trainer.supervised_trainer INFO     Progress: 1%, Train RMSE Loss: 0.7470
2023-04-08 21:40:24,406 seq2seq.trainer.supervised_trainer INFO     Progress: 1%, Train RMSE Loss: 2.5453
2023-04-08 21:40:25,799 seq2seq.trainer.supervised_trainer INFO     Progress: 2%, Train RMSE Loss: 0.5848
2023-04-08 21:40:27,191 seq2seq.trainer.supervised_trainer INFO     Progress: 2%, Train RMSE Loss: 0.4662
2023-04-08 21:40:28,548 seq2seq.trainer.supervised_trainer INFO     Progress: 3%, Train RMSE Loss: 0.2974
2023-04-08 21:40:29,899 seq2seq.trainer.supervised_trainer INFO     Progress: 3%, Train RMSE Loss: 0.3803
2023-04-08 21:40:31,239 seq2seq.trainer.supervised_trainer INFO     Progress: 3%, Train RMSE Loss: 0.2906
2023-04-08 21:40:32,839 seq2seq.trainer.supervised_trainer INFO     Progress: 4%, Train RMSE Loss: 0.2570
2023-04-08 21:40:34,123 seq2seq.trainer.supervised_trainer INFO     Progress: 4%, Train RMSE Loss: 0.2130
2023-04-08 21:40:35,948 seq2seq.trainer.supervised_trainer INFO     Progress: 5%, Train RMSE Loss: 0.2125
2023-04-08 21:40:37,590 seq2seq.trainer.supervised_trainer INFO     Progress: 5%, Train RMSE Loss: 0.1753
2023-04-08 21:40:39,129 seq2seq.trainer.supervised_trainer INFO     Progress: 5%, Train RMSE Loss: 0.1861
2023-04-08 21:40:41,090 seq2seq.trainer.supervised_trainer INFO     Progress: 6%, Train RMSE Loss: 0.1667
2023-04-08 21:40:42,786 seq2seq.trainer.supervised_trainer INFO     Progress: 6%, Train RMSE Loss: 0.3169
2023-04-08 21:40:44,482 seq2seq.trainer.supervised_trainer INFO     Progress: 7%, Train RMSE Loss: 0.3800
2023-04-08 21:40:46,530 seq2seq.trainer.supervised_trainer INFO     Progress: 7%, Train RMSE Loss: 0.7653
2023-04-08 21:40:48,805 seq2seq.trainer.supervised_trainer INFO     Progress: 7%, Train RMSE Loss: 0.2491
