2023-04-08 21:59:13,849 root         INFO     Namespace(data_path='datasets/po', expt_dir='./experiment', log_level='info', model='transformer')
2023-04-08 21:59:14,114 sentence_transformers.SentenceTransformer INFO     Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2023-04-08 21:59:15,863 sentence_transformers.SentenceTransformer INFO     Use pytorch device: cuda
2023-04-08 21:59:19,612 seq2seq.trainer.supervised_trainer INFO     Optimizer: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
), Scheduler: None
2023-04-08 21:59:30,570 seq2seq.trainer.supervised_trainer INFO     Progress: 1%, Train RMSE Loss: 10.5217
2023-04-08 21:59:35,990 seq2seq.trainer.supervised_trainer INFO     Progress: 1%, Train RMSE Loss: 6.7492
2023-04-08 21:59:41,947 seq2seq.trainer.supervised_trainer INFO     Progress: 2%, Train RMSE Loss: 3.4201
2023-04-08 21:59:50,072 seq2seq.trainer.supervised_trainer INFO     Progress: 2%, Train RMSE Loss: 7.8411
2023-04-08 21:59:58,615 seq2seq.trainer.supervised_trainer INFO     Progress: 3%, Train RMSE Loss: 2.1864
2023-04-08 22:00:04,635 seq2seq.trainer.supervised_trainer INFO     Progress: 4%, Train RMSE Loss: 2.0932
2023-04-08 22:00:12,589 seq2seq.trainer.supervised_trainer INFO     Progress: 4%, Train RMSE Loss: 1.4256
2023-04-08 22:00:19,829 seq2seq.trainer.supervised_trainer INFO     Progress: 5%, Train RMSE Loss: 2.5706
2023-04-08 22:00:28,022 seq2seq.trainer.supervised_trainer INFO     Progress: 5%, Train RMSE Loss: 1.4194
2023-04-08 22:00:34,945 seq2seq.trainer.supervised_trainer INFO     Progress: 6%, Train RMSE Loss: 1.1054
2023-04-08 22:00:40,459 seq2seq.trainer.supervised_trainer INFO     Progress: 7%, Train RMSE Loss: 1.0947
2023-04-08 22:00:46,364 seq2seq.trainer.supervised_trainer INFO     Progress: 7%, Train RMSE Loss: 1.0731
