2023-04-08 21:59:42,267 root         INFO     Namespace(data_path='datasets/pubmed', expt_dir='./experiment', log_level='info', model='transformer')
2023-04-08 21:59:42,654 sentence_transformers.SentenceTransformer INFO     Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2023-04-08 21:59:44,696 sentence_transformers.SentenceTransformer INFO     Use pytorch device: cuda
2023-04-08 21:59:49,978 seq2seq.trainer.supervised_trainer INFO     Optimizer: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
), Scheduler: None
2023-04-08 22:00:01,361 seq2seq.trainer.supervised_trainer INFO     Progress: 0%, Train RMSE Loss: 1.9379
2023-04-08 22:00:06,527 seq2seq.trainer.supervised_trainer INFO     Progress: 1%, Train RMSE Loss: 1.6225
2023-04-08 22:00:11,626 seq2seq.trainer.supervised_trainer INFO     Progress: 1%, Train RMSE Loss: 0.9945
2023-04-08 22:00:16,745 seq2seq.trainer.supervised_trainer INFO     Progress: 1%, Train RMSE Loss: 2.7783
2023-04-08 22:00:22,836 seq2seq.trainer.supervised_trainer INFO     Progress: 2%, Train RMSE Loss: 0.7600
2023-04-08 22:00:30,985 seq2seq.trainer.supervised_trainer INFO     Progress: 2%, Train RMSE Loss: 0.6931
2023-04-08 22:00:37,479 seq2seq.trainer.supervised_trainer INFO     Progress: 3%, Train RMSE Loss: 0.4344
2023-04-08 22:00:43,678 seq2seq.trainer.supervised_trainer INFO     Progress: 3%, Train RMSE Loss: 0.5669
2023-04-08 22:00:50,025 seq2seq.trainer.supervised_trainer INFO     Progress: 3%, Train RMSE Loss: 0.4425
2023-04-08 22:00:55,745 seq2seq.trainer.supervised_trainer INFO     Progress: 4%, Train RMSE Loss: 0.3796
2023-04-08 22:01:03,474 seq2seq.trainer.supervised_trainer INFO     Progress: 4%, Train RMSE Loss: 0.3647
2023-04-08 22:01:10,437 seq2seq.trainer.supervised_trainer INFO     Progress: 5%, Train RMSE Loss: 0.3559
2023-04-08 22:01:17,135 seq2seq.trainer.supervised_trainer INFO     Progress: 5%, Train RMSE Loss: 0.2721
2023-04-08 22:01:24,800 seq2seq.trainer.supervised_trainer INFO     Progress: 5%, Train RMSE Loss: 0.3032
2023-04-08 22:01:30,141 seq2seq.trainer.supervised_trainer INFO     Progress: 6%, Train RMSE Loss: 0.2813
2023-04-08 22:01:34,835 seq2seq.trainer.supervised_trainer INFO     Progress: 6%, Train RMSE Loss: 0.3985
2023-04-08 22:01:40,609 seq2seq.trainer.supervised_trainer INFO     Progress: 7%, Train RMSE Loss: 0.4862
2023-04-08 22:01:47,848 seq2seq.trainer.supervised_trainer INFO     Progress: 7%, Train RMSE Loss: 0.8960
2023-04-08 22:01:53,232 seq2seq.trainer.supervised_trainer INFO     Progress: 7%, Train RMSE Loss: 0.3518
2023-04-08 22:01:59,997 seq2seq.trainer.supervised_trainer INFO     Progress: 8%, Train RMSE Loss: 1.2045
2023-04-08 22:02:08,574 seq2seq.trainer.supervised_trainer INFO     Progress: 8%, Train RMSE Loss: 0.6275
2023-04-08 22:02:15,787 seq2seq.trainer.supervised_trainer INFO     Progress: 9%, Train RMSE Loss: 0.8943
2023-04-08 22:02:22,661 seq2seq.trainer.supervised_trainer INFO     Progress: 9%, Train RMSE Loss: 0.4881
2023-04-08 22:02:29,265 seq2seq.trainer.supervised_trainer INFO     Progress: 9%, Train RMSE Loss: 0.3847
2023-04-08 22:02:54,087 seq2seq.trainer.supervised_trainer INFO     
Finished epoch 1: Train RMSE Loss: 0.7164, Dev RMSE Loss: 1.5521, Test RMSE Loss: 0.6019
2023-04-08 22:02:59,770 seq2seq.trainer.supervised_trainer INFO     Progress: 10%, Train RMSE Loss: 0.3683
2023-04-08 22:03:05,166 seq2seq.trainer.supervised_trainer INFO     Progress: 10%, Train RMSE Loss: 1.1551
2023-04-08 22:03:09,949 seq2seq.trainer.supervised_trainer INFO     Progress: 11%, Train RMSE Loss: 1.3630
2023-04-08 22:03:16,832 seq2seq.trainer.supervised_trainer INFO     Progress: 11%, Train RMSE Loss: 0.8629
2023-04-08 22:03:21,695 seq2seq.trainer.supervised_trainer INFO     Progress: 11%, Train RMSE Loss: 2.2757
2023-04-08 22:03:27,427 seq2seq.trainer.supervised_trainer INFO     Progress: 12%, Train RMSE Loss: 0.6678
2023-04-08 22:03:33,823 seq2seq.trainer.supervised_trainer INFO     Progress: 12%, Train RMSE Loss: 0.5552
2023-04-08 22:03:41,001 seq2seq.trainer.supervised_trainer INFO     Progress: 13%, Train RMSE Loss: 0.3214
2023-04-08 22:03:45,666 seq2seq.trainer.supervised_trainer INFO     Progress: 13%, Train RMSE Loss: 0.4876
2023-04-08 22:03:51,467 seq2seq.trainer.supervised_trainer INFO     Progress: 13%, Train RMSE Loss: 0.3676
2023-04-08 22:03:57,485 seq2seq.trainer.supervised_trainer INFO     Progress: 14%, Train RMSE Loss: 0.2939
2023-04-08 22:04:03,376 seq2seq.trainer.supervised_trainer INFO     Progress: 14%, Train RMSE Loss: 0.2650
2023-04-08 22:04:09,255 seq2seq.trainer.supervised_trainer INFO     Progress: 15%, Train RMSE Loss: 0.2606
2023-04-08 22:04:15,435 seq2seq.trainer.supervised_trainer INFO     Progress: 15%, Train RMSE Loss: 0.2115
2023-04-08 22:04:20,659 seq2seq.trainer.supervised_trainer INFO     Progress: 15%, Train RMSE Loss: 0.2565
2023-04-08 22:04:27,440 seq2seq.trainer.supervised_trainer INFO     Progress: 16%, Train RMSE Loss: 0.2039
2023-04-08 22:04:33,230 seq2seq.trainer.supervised_trainer INFO     Progress: 16%, Train RMSE Loss: 0.3560
2023-04-08 22:04:37,983 seq2seq.trainer.supervised_trainer INFO     Progress: 17%, Train RMSE Loss: 0.4158
2023-04-08 22:04:43,399 seq2seq.trainer.supervised_trainer INFO     Progress: 17%, Train RMSE Loss: 0.8089
2023-04-08 22:04:48,320 seq2seq.trainer.supervised_trainer INFO     Progress: 17%, Train RMSE Loss: 0.2998
2023-04-08 22:04:53,749 seq2seq.trainer.supervised_trainer INFO     Progress: 18%, Train RMSE Loss: 1.1252
2023-04-08 22:04:58,830 seq2seq.trainer.supervised_trainer INFO     Progress: 18%, Train RMSE Loss: 0.5903
2023-04-08 22:05:05,802 seq2seq.trainer.supervised_trainer INFO     Progress: 19%, Train RMSE Loss: 0.8949
2023-04-08 22:05:13,186 seq2seq.trainer.supervised_trainer INFO     Progress: 19%, Train RMSE Loss: 0.4558
2023-04-08 22:05:18,600 seq2seq.trainer.supervised_trainer INFO     Progress: 19%, Train RMSE Loss: 0.3550
2023-04-08 22:05:41,635 seq2seq.trainer.supervised_trainer INFO     
Finished epoch 2: Train RMSE Loss: 0.6082, Dev RMSE Loss: 1.8485, Test RMSE Loss: 0.7325
2023-04-08 22:05:46,915 seq2seq.trainer.supervised_trainer INFO     Progress: 20%, Train RMSE Loss: 0.3515
2023-04-08 22:05:53,187 seq2seq.trainer.supervised_trainer INFO     Progress: 20%, Train RMSE Loss: 1.0710
2023-04-08 22:05:58,744 seq2seq.trainer.supervised_trainer INFO     Progress: 21%, Train RMSE Loss: 1.3659
2023-04-08 22:06:05,701 seq2seq.trainer.supervised_trainer INFO     Progress: 21%, Train RMSE Loss: 0.8075
2023-04-08 22:06:13,465 seq2seq.trainer.supervised_trainer INFO     Progress: 21%, Train RMSE Loss: 1.7944
2023-04-08 22:06:19,077 seq2seq.trainer.supervised_trainer INFO     Progress: 22%, Train RMSE Loss: 1.1624
2023-04-08 22:06:26,492 seq2seq.trainer.supervised_trainer INFO     Progress: 22%, Train RMSE Loss: 0.5341
2023-04-08 22:06:32,544 seq2seq.trainer.supervised_trainer INFO     Progress: 23%, Train RMSE Loss: 0.2924
2023-04-08 22:06:38,352 seq2seq.trainer.supervised_trainer INFO     Progress: 23%, Train RMSE Loss: 0.4293
2023-04-08 22:06:45,003 seq2seq.trainer.supervised_trainer INFO     Progress: 23%, Train RMSE Loss: 0.3363
2023-04-08 22:06:51,339 seq2seq.trainer.supervised_trainer INFO     Progress: 24%, Train RMSE Loss: 0.2656
2023-04-08 22:06:58,468 seq2seq.trainer.supervised_trainer INFO     Progress: 24%, Train RMSE Loss: 0.2540
2023-04-08 22:07:04,826 seq2seq.trainer.supervised_trainer INFO     Progress: 25%, Train RMSE Loss: 0.2312
2023-04-08 22:07:09,798 seq2seq.trainer.supervised_trainer INFO     Progress: 25%, Train RMSE Loss: 0.1823
2023-04-08 22:07:14,890 seq2seq.trainer.supervised_trainer INFO     Progress: 25%, Train RMSE Loss: 0.2636
2023-04-08 22:07:21,364 seq2seq.trainer.supervised_trainer INFO     Progress: 26%, Train RMSE Loss: 0.2314
2023-04-08 22:07:29,312 seq2seq.trainer.supervised_trainer INFO     Progress: 26%, Train RMSE Loss: 0.3348
2023-04-08 22:07:34,114 seq2seq.trainer.supervised_trainer INFO     Progress: 27%, Train RMSE Loss: 0.4020
2023-04-08 22:07:40,203 seq2seq.trainer.supervised_trainer INFO     Progress: 27%, Train RMSE Loss: 0.7312
2023-04-08 22:07:48,632 seq2seq.trainer.supervised_trainer INFO     Progress: 27%, Train RMSE Loss: 0.3064
2023-04-08 22:07:55,943 seq2seq.trainer.supervised_trainer INFO     Progress: 28%, Train RMSE Loss: 1.1193
2023-04-08 22:08:02,419 seq2seq.trainer.supervised_trainer INFO     Progress: 28%, Train RMSE Loss: 0.4208
2023-04-08 22:08:08,054 seq2seq.trainer.supervised_trainer INFO     Progress: 29%, Train RMSE Loss: 0.8969
2023-04-08 22:08:14,104 seq2seq.trainer.supervised_trainer INFO     Progress: 29%, Train RMSE Loss: 0.4324
2023-04-08 22:08:21,547 seq2seq.trainer.supervised_trainer INFO     Progress: 29%, Train RMSE Loss: 0.3210
2023-04-08 22:08:46,063 seq2seq.trainer.supervised_trainer INFO     
Finished epoch 3: Train RMSE Loss: 0.5809, Dev RMSE Loss: 1.7252, Test RMSE Loss: 0.7096
2023-04-08 22:08:52,141 seq2seq.trainer.supervised_trainer INFO     Progress: 30%, Train RMSE Loss: 0.3177
2023-04-08 22:08:59,257 seq2seq.trainer.supervised_trainer INFO     Progress: 30%, Train RMSE Loss: 0.9521
2023-04-08 22:09:07,099 seq2seq.trainer.supervised_trainer INFO     Progress: 31%, Train RMSE Loss: 1.2763
2023-04-08 22:09:13,426 seq2seq.trainer.supervised_trainer INFO     Progress: 31%, Train RMSE Loss: 0.7921
2023-04-08 22:09:20,572 seq2seq.trainer.supervised_trainer INFO     Progress: 31%, Train RMSE Loss: 1.4213
2023-04-08 22:09:25,385 seq2seq.trainer.supervised_trainer INFO     Progress: 32%, Train RMSE Loss: 1.3150
2023-04-08 22:09:29,994 seq2seq.trainer.supervised_trainer INFO     Progress: 32%, Train RMSE Loss: 0.4964
2023-04-08 22:09:37,033 seq2seq.trainer.supervised_trainer INFO     Progress: 33%, Train RMSE Loss: 0.2628
2023-04-08 22:09:43,855 seq2seq.trainer.supervised_trainer INFO     Progress: 33%, Train RMSE Loss: 0.4171
2023-04-08 22:09:49,668 seq2seq.trainer.supervised_trainer INFO     Progress: 33%, Train RMSE Loss: 0.3046
2023-04-08 22:09:55,229 seq2seq.trainer.supervised_trainer INFO     Progress: 34%, Train RMSE Loss: 0.2696
2023-04-08 22:10:02,956 seq2seq.trainer.supervised_trainer INFO     Progress: 34%, Train RMSE Loss: 0.2443
2023-04-08 22:10:10,312 seq2seq.trainer.supervised_trainer INFO     Progress: 35%, Train RMSE Loss: 0.2328
2023-04-08 22:10:15,145 seq2seq.trainer.supervised_trainer INFO     Progress: 35%, Train RMSE Loss: 0.1718
2023-04-08 22:10:21,852 seq2seq.trainer.supervised_trainer INFO     Progress: 35%, Train RMSE Loss: 0.2404
2023-04-08 22:10:27,421 seq2seq.trainer.supervised_trainer INFO     Progress: 36%, Train RMSE Loss: 0.2037
2023-04-08 22:10:33,871 seq2seq.trainer.supervised_trainer INFO     Progress: 36%, Train RMSE Loss: 0.3440
2023-04-08 22:10:41,293 seq2seq.trainer.supervised_trainer INFO     Progress: 37%, Train RMSE Loss: 0.3992
2023-04-08 22:10:48,207 seq2seq.trainer.supervised_trainer INFO     Progress: 37%, Train RMSE Loss: 0.7897
2023-04-08 22:10:55,744 seq2seq.trainer.supervised_trainer INFO     Progress: 37%, Train RMSE Loss: 0.2961
2023-04-08 22:11:03,020 seq2seq.trainer.supervised_trainer INFO     Progress: 38%, Train RMSE Loss: 1.0053
2023-04-08 22:11:09,122 seq2seq.trainer.supervised_trainer INFO     Progress: 38%, Train RMSE Loss: 0.4201
2023-04-08 22:11:16,268 seq2seq.trainer.supervised_trainer INFO     Progress: 39%, Train RMSE Loss: 0.8460
2023-04-08 22:11:22,306 seq2seq.trainer.supervised_trainer INFO     Progress: 39%, Train RMSE Loss: 0.3573
2023-04-08 22:11:26,810 seq2seq.trainer.supervised_trainer INFO     Progress: 39%, Train RMSE Loss: 0.2896
2023-04-08 22:11:51,590 seq2seq.trainer.supervised_trainer INFO     
Finished epoch 4: Train RMSE Loss: 0.5463, Dev RMSE Loss: 1.9426, Test RMSE Loss: 0.7796
2023-04-08 22:11:57,550 seq2seq.trainer.supervised_trainer INFO     Progress: 40%, Train RMSE Loss: 0.2999
2023-04-08 22:12:04,018 seq2seq.trainer.supervised_trainer INFO     Progress: 40%, Train RMSE Loss: 0.9234
2023-04-08 22:12:10,460 seq2seq.trainer.supervised_trainer INFO     Progress: 41%, Train RMSE Loss: 1.1211
2023-04-08 22:12:18,014 seq2seq.trainer.supervised_trainer INFO     Progress: 41%, Train RMSE Loss: 0.8395
2023-04-08 22:12:23,550 seq2seq.trainer.supervised_trainer INFO     Progress: 41%, Train RMSE Loss: 1.3578
2023-04-08 22:12:30,283 seq2seq.trainer.supervised_trainer INFO     Progress: 42%, Train RMSE Loss: 1.3440
2023-04-08 22:12:34,937 seq2seq.trainer.supervised_trainer INFO     Progress: 42%, Train RMSE Loss: 0.4542
